countof,Datum,years,Monat,Bundesland,Bundesland_count,Bundesland_count_scale,Stadt,Vorfallsart,Kurzbeschreibung,Verletzte,Tote,bewohnt,Politisch motivierte Tat nach Polizei- einschätzung?,Einzeltäter,Tätergruppe,Täter_organisiert,Ersttäter,Wiederholungstäter,Täter_ortsansässig,Täter_zugereist,ermittelnde_Polizei,ermittelnde_Staats_anwaltschaft,Verfahren_eingestellt,Anklage_erhoben,Urteil,Uhrzeit,Einbruch_Eingedrungen,lat,lng,cunti
1,10/31/2015,2015,10,Sachsen,13,1,Heidenau,Sachbeschädigung,Unbekannte werfen Steine auf eine Erstaufnahmeeinrichtung und zerstören mehrere Fenster. Mit Feuerwerkskörpern beschädigen sie zudem den Sichtschutz des Zauns.,0,0,ja,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,OAZ,Dresden,nein,keine Auskunft,keine Auskunft,nachts,nein,50.973441,13.873870,1
1,7/29/2015,2015,7,Sachsen,13,1,Lunzenau,Wasserschaden,"Unbekannte sabotieren in einer im Umbau befindlichen Unterkunft Wasserhähne, es entsteht 80.000 Euro Sachschaden. Die Polizei ermittelt gegen unbekannt.  ",0,0,nein,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Operatives Abwehrzentrum (OAZ),  Chemnitz,,nein,nein,nachts,ja,50.961804,12.756488,1
1,7/31/2015,2015,7,Sachsen,13,1,Lunzenau,Brandanschlag,"Brandstifter schleudern Brandsätze auf eine Unterkunft, eine Hecke fängt Feuer, die Hitze beschädigt Fenster und Jalousien. Die Polizei ermittelt gegen unbekannt. ",0,0,ja,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Operatives Abwehrzentrum (OAZ),  Chemnitz,,nein,nein,24 Uhr,nein,50.961804,12.756488,1
1,12/29/2015,2015,12,Sachsen,13,1,Pirna,Sachbeschädigung,In der Nähe einer Unterkunft zünden Unbekante mindestens drei große Böller. Rauch steigt auf. Die Polizei findet nur eine angebrannte Folie. Einen Brandanschlag schließt sie zunächst aus. ,0,0,nein,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,OAZ,Dresden,"läuft, gegen Unbekannt",nein,nein,kurz nach Mitternacht,nein,50.960691,13.941963,1
1,12/13/2015,2015,12,Sachsen,13,1,Pirna,Brandanschlag,Unbekannte schleudern kurz vor dem Einzug von Flüchtlingen einen Molotow-Cocktail auf eine Unterkunft. Der Wachdienst eilt hinzu und verhindert Brandschäden an Fassade und Fenstern. ,0,0,nein,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,OAZ,Dresden,"nein, es läuft gegen Unbekannt",nein,nein,1.15 Uhr,nein,50.959664,13.939067,1
1,10/29/2015,2015,10,Sachsen,13,1,Frankenberg/Sa.,Sachbeschädigung,Aus einer Gruppe von mehreren Personen heraus wird eine Bierflasche gegen das Fenster der Unterkunft geworfen. Eine 25-jährige Frau erleidet einen Schock und muss ambulant behandelt werden. Die Polizei ermittelt wegen Landfriedensbruchs.,0,0,ja,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,OAZ,Chemnitz,nein,nein,nein,19 Uhr,nein,50.913348,13.041613,1
1,10/31/2015,2015,10,Sachsen,13,1,Dippoldiswalde,Brandanschlag,"Unbekannte setzen mehrere Wohncontainer in Brand. Sie brennen völlig aus. Es entsteht ein Sachschaden in Höhe von 300.000 Euro. Die Polizei bittet Zeugen, sich zu melden.",0,0,Nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,OAZ,Dresden / Pirna,keine Auskunft,keine Auskunft,keine Auskunft,1.30 Uhr,,50.895039,13.663334,1
1,10/11/2015,2015,10,Sachsen,13,1,Crimmitschau,Sachbeschädigung,"Unbekannte schleudern Metallkugeln auf die Scheibe eines Büros der Wohnungsbaugesellschaft, die Wohnräume für Flüchtlinge bereitstellt. An die Wände schmieren die Täter ""Volksverräter"" und ""Wir kriegen euch alle"". ",0,0,nein,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Zwickau,Zwickau,,nein,nein,unbekannt,nein,50.815384,12.38902,1
1,11/12/2015,2015,11,Sachsen,13,1,Crimmitschau,Brandanschlag,"Brandstifter werfen einen Brandsatz auf ein Wohnhaus, in dem 40 bis 45 Asylbewerber leben. Die Fassade und ein Fenster verrußen. Eine Fensterscheibe wird durch einen geworfenen Blumenkübel beschädigt. Die alarmierte Polizei fasst kurz darauf nahe des Hauses mehrere alkoholisierte Tatverdächtige. Sieben sind beschuldigt, drei als Haupttäter, einer ist inhaftiert.",0,0,ja,Unbekannt,nein,ja,keine Angabe,nein,nein,ja,nein,OAZ,Zwickau,nein,nein,nein,3 Uhr,nein,50.815384,12.38902,1
1,10/2/2015,2015,10,Sachsen,13,1,Großhartmannsdorf,Brandanschlag,"Brandstifter werfen mit brennbarer Flüssigkeit getränkte und entzündete Holzlatten duch das Fenster einer ehemaligen Jugendherberge, die als Unterkunft für minderjährige Flüchtlinge genutzt werden soll. Die Polizei ermittelt gegen unbekannt. ",0,0,nein,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Operatives Abwehrzentrum (OAZ),Chemnitz,,nein,nein,"zw. 17.30 Uhr und 3.10., 10.50 Uhr",nein,50.798725,13.320721,1
1,12/1/2015,2015,12,Sachsen,13,1,Zwickau,Sachbeschädigung,"Vor einem Flüchtlingsheim in Zwickau entdeckt der Wachschutz am frühen Morgen einen Gegenstand, der wie eine Rohrbombe aussieht. Sprengstoffexperten des Landeskriminalamts identifizieren ihn als Attrappe. In der Nähe der Unterkunft stellt die Polizei drei Tatverdächtige fest.",0,0,Nein,ja,Nein,Ja,,Nein,"zwei Ersttäter, ein Wiederholungstäter, der auch schon staatschutzrelevant auffiel",Ja,nein,OAZ,Zwickau,nein,nein,nein,4 Uhr,nein,50.722664,12.493735,1
1,3/3/2015,2015,3,Sachsen,13,1,Zwickau,Sachbeschädigung,Ein Gewalttäter schlägt eine Glasscheibe einer Unterkunft mit einer Bierflasche ein. Es entsteht 300 Euro Sachschaden. ,0,0,ja,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Operatives Abwehrzentrum (OAZ),  Zwickau,,nein,nein,22.16 Uhr,nein,50.718504,12.493927,1
1,12/16/2015,2015,12,Sachsen,13,1,Zwickau,Sachbeschädigung,Unbekannte schießen mehrere Feuerwerksraketen auf einen zur Asylnotunterkunft umfunktionierten Baumarkt. Die Raketen werden aus einem angrenzenden Waldstück gezündet. Die Polizei ermittelt gegen Unbekannt.,0,0,ja,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,OAZ,Zwickau,nein,nein,nein,21.17 Uhr,nein,50.710209,12.497869,1
1,5/8/2015,2015,5,Sachsen,13,1,Großrückerswalde,Tätlicher Angriff,"Mehrere Personen, darunter ein 29-jähriger Mann und eine 20-jährige Frau, brechen die Wohnungstür eines Albaners auf und beleidigen ihn fremdenfeindlich. Die Ermittlungsverfahren gegen zwei Verdächtige werden wegen Geringfügigkeit eingestellt, der Mann erhält eine Geldstrafe, die Frau eine Haftstrafe, dagegen sie noch ein anderes Verfahren lief. Sachbeschädigung und Hausfriedensbruch erhoben. ",0,0,nein,ja,nein,ja,unbekannt,nein,nein,ja,nein,Operatives Abwehrzentrum (OAZ),Chemnitz,,nein,ja,unbekannt,ja,50.629851,13.116764,1
1,8/28/2015,2015,8,Sachsen,13,1,Aue,Brandanschlag,"In der Unterkunft mit 241 Bewohnern brennt der Dachstuhl. Aus Sicht der Staatsanwaltschaft spricht vieles dafür, dass ein Bewohner das Feuer legte. Ein politischer Hintergrund wird nicht mehr vermutet. Schon in den Vortagen hatten an dem Gebäude Mülltonnen und eine Wiese gebrannt. Ein Bewohner wurde nach seiner Festname wieder freigelassen, weil sich der Verdacht gegen ihn nicht erhärtete.",0,0,ja,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Operatives Abwehrzentrum (OAZ),Chemnitz,,nein,nein,9.30 Uhr,unbekannt,50.586027,12.699305,1
1,12/26/2015,2015,12,Sachsen,13,1,Schlettau-Dörfel,Brandanschlag,Unbekannte werfen am frühen Morgen kurz nach 4 Uhr zwei Molotowcocktails durch die Fenster einer Flüchtlingsunterkunft im Schlettauer Ortsteil Dörfel. Zwei weitere Brandsätze landen auf einem Vordach. Das Sicherheitspersonal hört einen dumpfen Knall und beobachtet einen abfahrenden Seat mit vier Insassen. Der Wachschutz kann die Brandsätze löschen. Der Sachschaden bleibt gering.,0,0,nein,unklar,nein,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt, OAZ Leipzig,Chemnitz,nein,nein,nein,4.11 Uhr,nein,50.585585,12.954113,1
1,10/13/2015,2015,10,Sachsen,13,1,Lauter-Bernsbach,Brandanschlag,"Unbekannte versuchen, das Gebäude des ehemaligen Diska-Marktes in Brand zu setzen. Das Feuer erlischt von allein. Das seit Jahren leer stehende Gebäude war als Flüchtlingsunterkunft vorgesehen. Der Eigentümer hatte sich jedoch nach Bürgerprotesten dagegen entschieden.",0,0,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,OAZ,Chemnitz,nein,keine Auskunft,keine Auskunft,unbekannt,nein,50.577337,12.763531,1
1,8/14/2015,2015,8,Sachsen,13,1,Bockau,Sachbeschädigung,Unbekannte bewerfen eine Asylbewerberwohnung in einem Mehrfamilienhaus mit Steinen. Glas geht zu Bruch. Es entsteht 200 Euro Sachschaden. In der Wohnung leben acht Albaner. Die Polizei ermittelt gegen unbekannt.,0,0,ja,ja,keine Auskunft,keine Auskunft,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Operatives Abwehrzentrum (OAZ),  Chemnitz,,nein,nein,3 Uhr,nein,50.541899,12.686315,1
1,11/15/2015,2015,11,Sachsen,13,1,Schwarzenberg/Erzgeb.,Sachbeschädigung,Unbekannte beschädigen an einer Unterkunft eine Doppelglasfensterscheibe. Es entsteht etwa 250 Euro Schaden.,0,0,unbekannt,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,OAZ,Chemnitz,nein,keine Auskunft,keine Auskunft,unbekannt,nein,50.534728,12.779822,1
1,12/5/2015,2015,12,Sachsen,13,1,Plauen,Sachbeschädigung,"Unbekannte Täter werfen einen Pflasterstein durch das Balkonfenster einer dezentralen Flüchtlingsunterkunft in Muldenhammer-Tannenbergsthal. Ein Böller aus Tschechien explodiert auf dem Balkon. In der Erdgeschosswohnung lebt eine irakische Familie mit zwei kleinen Kindern. Die Flüchtlinge bleiben unverletzt, weil sie in einem anderen Raum waren.",0,0,Ja,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,OAZ,Zwickau,nein,nein,nein,02.11 Uhr,nein,50.495532,12.138846,1
1,1/1/2015,2015,1,Sachsen,13,1,Plauen,Tätlicher Angriff,"Zwei Männer dringen in den Eingangsbereich einer Unterkunft ein. Einer der Täter bedroht den Wachmann, er werde ihn niederstechen. 100 Euro Sachschaden entsteht. Die Täter kommen angetrunken von einer Silvesterveranstaltung. Das Amtsgericht verurteilt sie wegen Hausfriedensbruchs, Sachbeschädigung und versuchter Nötigung zu Geldstrafen. ",0,0,ja,ja,nein,ja,unbekannt,unbekannt,nein,ja,nein,Operatives Abwehrzentrum (OAZ),  Zwickau,,ja,ja,0.30 Uhr,ja,50.495063,12.134652,1
1,1/19/2016,2016,1,Sachsen,13,1,Zeithain,Kundgebung/Demo,"Etwa 170 Menschen beteiligten sich an einer Demo des NPD-Kreisverbands unter dem Motto „Zeithain wehrt sich gegen Asylbetrug und Überfremdung!“. Die Kundgebung fand keine 100 Meter von einer Asylunterkunft entfernt Nikopoler Straße statt. Zu den Rednern gehörten der NPD-Landesvorsitzende Jens Baur sowie die Kreisräte Peter Schreiber und Jürgen Gansel. Die Polizei belegte die Bewohner_innen der Asylunterkunft mit einer Ausgangssperre, ""damit es nicht zu Zusammenstößen kommt."" Am Rande der Demonstration warfen zwei Männer illegale Böller. Gegen sie wird nun wegen Verstoßes gegen das Sprengstoffgesetz ermittelt.",0,,,,,,,,,,,,,,,,,Zeithain,51.356477,13.325208,1
1,1/24/2016,2016,1,Sachsen,13,1,Naunhof,Sonstige Angriffe auf Unterkünfte,"Unbekannte haben in Naunhof offenbar eine Reihe von Straftaten begangen, die sich gegen Asylsuchende und ihre Unterstützer richten. Der oder die Täter warfen am frühen Morgen mit Pflastersteinen eine Scheibe im Wohnhaus des Linke-Politikers Michael Eichhorn ein. Eichhorn, der für die Partei im Stadtrat von Naunhof sitzt, wurde nach eigener Aussage von einem der Steine nur knapp verfehlt. An einer Wand des Wohnhauses hinterließen die Täter die Botschaft ""Handeln statt zuschauen"". Dieselbe Parole fand sich auch an einer im Bau befindlichen sowie einer bereits bewohnten Asylunterkunft. In der Pension ""Paulchen"", die zurzeit für die anschließende Nutzung als Asylunterkunft umgebaut wird, warfen die Täter ebenfalls mehrere Scheiben ein.",0,,,,,,,,,,,,,,,,,Naunhof,51.278722,12.591803,1
1,1/16/2016,2016,1,Sachsen,13,1,Zschillichau,Brandanschlag,"Erst jetzt wurde bekannt, dass Unbekannte in den vergangenen zwei Wochen einen Brandanschlag auf einem ehemaligen Bundeswehrgelände verübten. Der oder die Täter steckten eine Tür und einen Stromkasten eines Gebäudes in Brand. Die Flammen erloschen jedoch von selbst. Auf dem Gelände, auf dem bereits 2005 Gebäude als Asylunterkunft dienten, wollte der Landkreis eine Unterkunft für 400 Asylsuchende einrichten. Der Gemeinderat lehnte dies jedoch ab. Dennoch geht die Polizei laut einem Bericht der Sächsischen Zeitung bei der Brandstiftung von einem politischen Hintergrund aus.",0,,,,,,,,,,,,,,,,,Zschillichau,51.251869,14.488073,1
1,1/13/2016,2016,1,Sachsen,13,1,Dresden-Pieschen,Sonstige Angriffe auf Unterkünfte,"In der Nacht wurde mindestens ein Böller auf eine Asylunterkunft in der Leipziger Straße geworfen. Ein Fenster wurde beschädigt, verletzt wurde niemand.",0,,,,,,,,,,,,,,,,,Dresden-Pieschen,51.077592,13.71707,1
1,1/30/2016,2016,1,Sachsen,13,1,Chemnitz,Sonstige Angriffe auf Unterkünfte,Drei maskierte Unbekannte haben am Samstagabend gegen 22.30 Uhr Steine auf Fenster einer Asylbewerberunterkunft auf der Straßburger Straße geworfen. Dabei wurden mehrere Scheiben beschädigt. Verletzt wurde niemand.,0,,,,,,,,,,,,,,,,,Chemnitz,50.827845,12.92137,1
1,8/24/2015,2015,8,Nordrhein-Westfalen,10,2,Espelkamp,Brandanschlag,An einer Containerwohnanlage für Asylsuchende wird Feuer unterhalb von Fenstern gelegt. Jalousien und Rahmen werden beschädigt. Die Ermittlungen werden nach zwei Monaten eingestellt.,0,0,nein,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Bielefeld,Bielefeld,ja,nein,nein,20.00 Uhr,nein,52.381758,8.620321,1
1,1/16/2015,2015,1,Nordrhein-Westfalen,10,2,Porta Westfalica,Sachbeschädigung,Sechs Männer beschießen eine Asylunterkunft mit Paintball-Waffen und rufen dabei rassistische Parolen. Eine Stunde später klopfen sie an Fenster und Türen. Erneut fallen ausländerfeindliche Sprüche. Die Ermittlungen werden eingestellt.,0,0,ja,ja,nein,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,, Bielefeld,ja,nein,nein,24.00 Uhr,nein,52.239443,8.924762,1
1,9/16/2015,2015,9,Nordrhein-Westfalen,10,2,Porta Westfalica,Brandanschlag,"Mehrere Personen werfen Molotowcocktails gegen eine Asylunterkunft. Die Polizei findet am Tatort eine DNA-Spur und nimmt einen 29-Jährigen fest. Er sitzt wegen versuchter schwerer Brandstiftung in Untersuchungshaft. Vier weitere Verdächtige sind mittlerweile geständig. Ein 33-Jähriger gilt als zweiter Haupttäter. Die Beschuldigten geben an, mit ihrer Tat ein Zeichen gegen Flüchtlinge setzen zu wollen.",0,0,ja,ja,nein,ja,unbekannt,ja,nein,ja,nein,  Bielefeld,Bielefeld,,ja,nein,23.30 Uhr,nein,52.239443,8.924762,1
1,8/31/2015,2015,8,Nordrhein-Westfalen,10,2,Bad Oeynhausen,Brandanschlag,An einer Flüchtlingsunterkunft in Bad Oeynhausen verüben unbekannte Täter mehre Kokeleien.,0,,,,,,,,,,,,,,,,,,52.215829,8.801669,1
1,11/14/2015,2015,11,Nordrhein-Westfalen,10,2,Vlotho,Tätlicher Angriff,Mit Schreckschusswaffen feuern Unbekannte aus einem Auto heraus auf eine Flüchtlingsunterkunft. Die Polizei stellt mehrere Patronenhülsen einer Schreckschusswaffe sicher und leitet die Ermittlungen wegen Bedrohung und Verstoßes gegen das Waffengesetz ein.,0,0,ja,unbekannt,nein,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,,Bielefeld,,nein,nein,zwischen 22 Uhr und 23 Uhr ,nein,52.181128,8.893893,1
1,11/23/2015,2015,11,Nordrhein-Westfalen,10,2,Westbevern-Vadrup,Brandanschlag,"An einem ehemaligen Schulgebäude werden Papierstapel aufgetürmt und in Brand gesteckt. Die Feuerwehr löscht die beiden Brandherde an der Gebäudeaußenseite. Der leer stehende Gebäudeteil ist für die Unterbringung von Flüchtlingen vorgesehen.
",0,0,nein,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,,Münster,,nein,nein,früher Morgen,nein,52.032046,7.751327,1
1,11/9/2015,2015,11,Nordrhein-Westfalen,10,2,Westbevern-Vadrup,Brandanschlag,"Ein Anwohner bemerkt am frühen Morgen einen Feuerschein in einer leer stehenden Schule. Der Brand kann schnell gelöscht werden, es entsteht kein Schaden. Das Feuer ist an zwei Seiten des Gebäudes gelegt worden. In dem Haus sollten Flüchtlinge untergebracht werden.",0,0,nein,ja,Unbekannt,Unbekannt,Unbekannt,Unbekannt,Unbekannt,Unbekannt,Unbekannt,Münster,Münster,Nein,Nein,Nein,05:40,nein,52.031106,7.750954,1
1,4/19/2015,2015,4,Nordrhein-Westfalen,10,2,Münster,Sachbeschädigung,"In einem Mehrfamilienhaus, in dem auch Flüchtlinge leben, zerstört ein Geschoss eine Fensterscheibe. Die Polizei findet eine fünf Millimeter große Metallkugel. Aus welcher Waffe diese stammt, ist unklar.",0,0,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,  Münster,  Münster,,nein,nein,23.10 Uhr,nein,51.96251,7.625188,1
1,2/24/2015,2015,2,Nordrhein-Westfalen,10,2,Coesfeld,Brandanschlag,"Auf dem Gelände einer Unterkunft für Asylsuchende geht ein Versorgungszelt des Deutschen Roten Kreuzes in Flammen auf. Die Polizei teilt mit, der Brand sei vorsätzlich gelegt worden.",0,0,nein,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,,  Münster,,nein,nein,früher Morgen,nein,51.94527,7.167689,1
1,11/14/2015,2015,11,Nordrhein-Westfalen,10,2,Verl-Kaunitz,Sachbeschädigung,"Fünf junge Männer beschädigen mitten in der Nacht Türen und Fenster einer Flüchtlingsunterkunft, außerdem zündeln sie mit Böllern. In eine Scheibe werfen sie einen Blumenkübel. Mit einer Eisenstange zerstören sie ein Oberlicht. Die Polizei schnappt sie schnell. Die Täter standen offenbar unter Alkoholeinfluss. Zum Tatmotiv gibt die Polizei an: ""Frustabbau aufgrund privater Probleme"".",0,0,Ja,Nein,Nein,Ja,Nein,Ja,Nein,Ja,Nein,Bielefeld,,Nein,Nein,Nein,0.1222222222,Nein,51.856267,8.565170,1
1,12/8/2015,2015,12,Nordrhein-Westfalen,10,2,Borken,Sachbeschädigung,Kurz nach Mitternacht werfen Unbekannte einen Stein durch ein geöffnetes Fenster im ersten Stock der Flüchtlingsunterkunft am Butenwall in Borken. Der faustgroße Stein trifft dabei lediglich eine Porzellantasse. Keiner der fünf anwesenden Bewohner wird verletzt. Der oder die Täter entkommen unerkannt.,0,0,ja,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Polizeipräsidium Münster,Staatsanwaltschaft Münster,nein,nein,nein,00.02 Uhr,nein,51.843290,6.841172,1
1,12/8/2015,2015,12,Nordrhein-Westfalen,10,2,Borken,Sachbeschädigung,"Gegen 0.30 Uhr werfen Unbekannte einen faustgroßen Naturstein gegen eine Flüchtlingsunterkunft. Der Stein durchschlägt eine Fensterscheibe im Hochparterre. Er richtet keinen weiteren Schaden an. Zur Tatzeit schlafen in dem Raum vier Kinder. Sie bleiben unverletzt. In der Nähe der Unterkunft werden zwei Männer und eine Frau gesehen, die auf Fahrrädern wegfahren.",0,0,ja,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Polizeipräsidium Münster,Staatsanwaltschaft Münster,nein,nein,nein,00.30 Uhr,nein,51.843290,6.841172,1
1,12/6/2015,2015,12,Nordrhein-Westfalen,10,2,Ahlen,Tätlicher Angriff,"Etwa sechs Vermummte versuchen, nachts in eine Flüchtlingseinrichtung in Ahlen einzudringen. Als ein Wachmann ein Messer in der Hand eines Angreifers entdeckt, entwaffnet er ihn. Drei der Täter - zwei Männer und eine Frau zwischen 20 und 22 Jahren - werden von den Sicherheitsleuten gefasst. Die Polizei findet eine Rauchbombe, eine Spraydose und ein weiteres Messer bei ihnen. Die drei sind den Ermittlern teilweise bekannt. Sie hatten schon zuvor fremdenfeindliche Parolen gebrüllt.",0,0,ja,ja,nein,ja,unklar,nein,ja,ja,nein,Polizeipräsidium Münster,Staatsanwaltschaft Münster,nein,nein,nein,02.20 Uhr,nein,51.776920,7.897669,1
1,10/4/2015,2015,10,Nordrhein-Westfalen,10,2,Xanten,Brandanschlag,In einer geplanten Unterkunft für Asylsuchende bricht ein Feuer aus. Die Polizei findet Spuren eines Brandbeschleunigers im Erdgeschoss. Die Täter verwendeten vermutlich einen Molotowcocktail als Brandsatz.,0,0,nein,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,,  Moers,,nein,nein,am späten Abend,ja,51.661519,6.45432,1
1,12/14/2015,2015,12,Nordrhein-Westfalen,10,2,Herne-Baukau,Sachbeschädigung,"Unbekannte beschädigen eine Seitentür der Flüchtlingsunterkunft an der Bismarckstraße in Herne-Baukau. Die Polizei geht davon aus, dass die Täter vom angrenzenden Gelände einer Kirchengemeinde mehrmals, vermutlich mit einer Zwille, auf die Glastür geschossen haben. An der Tür werden drei Prellmarken festgestellt und Stahlkugeln sichergestellt. Die Kugeln haben das Glas aber nicht durchschlagen. ",0,0,ja,unklar,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Polizeipräsidium Bochum,Staatsanwaltschaft Bochum,nein,nein,nein,unklar,nein,51.546523,7.211293,1
1,9/6/2015,2015,9,Nordrhein-Westfalen,10,2,Dortmund,Brandanschlag,"Unbekannte Täter schlagen die Fenster einer Asylunterkunft ein und werfen Brandsätze in das Gebäude. Die Feuerwehr verhindert, dass das Feuer sich ausbreiten kann. Verletzt wird niemand.",0,0,nein,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,,Dortmund,,nein,nein,02.18 Uhr,nein,51.514227,7.465279,1
1,11/18/2015,2015,11,Nordrhein-Westfalen,10,2,Essen-Altenessen,Brandanschlag,"Unbekannte zünden in einer Zeltunterkunft für Flüchtlinge zwei Matratzen an. Die Kriminalpolizei ermittelt wegen des Verdachts der Brandstiftung. Bislang gebe es keine Hinweise auf ein mögliches fremdenfeindliches Motiv. Doch die Ermittler haben keinen Zweifel daran, dass das Feuer vorsätzlich gelegt wurde.",0,0,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Essen,Essen,,nein,nein,17.30 Uhr,ja,51.476141,7.000504,1
1,9/3/2015,2015,9,Nordrhein-Westfalen,10,2,Witten,Brandanschlag,Unbekannte Täter schlagen die Fensterscheibe einer geplanten Flüchtlingsunterkunft ein. Dann verteilen sie Brandbeschleuniger. Die Rettungskräfte bemerken den Schwelbrand und löschen ihn rasch. Es entsteht kaum Schaden. Laut der Polizei wollten die Täter noch weiter ins Gebäude – doch der Versuch misslang.,0,0,nein,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,,Bochum,,nein,nein,vor 08.15 Uhr,ja,51.437017,7.335124,1
1,1/17/2015,2015,1,Nordrhein-Westfalen,10,2,Villigst,Sachbeschädigung,"Drei Jugendliche werfen Steine gegen die örtliche Unterkunft für Asylsuchende. Zudem zeigen sie ausgestreckte Mittelfinger. Als die Polizei alarmiert wird, fliehen sie. Zwei Stunden später brennen die gleichen Personen Feuerwerkskörper vor der Unterkunft ab.",0,0,ja,unbekannt,nein,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,, Hagen,,nein,nein,18 Uhr und 19.30 Uhr,nein,51.435008,7.588476,1
1,8/7/2015,2015,8,Nordrhein-Westfalen,10,2,Duisburg-Hochfeld,Brandanschlag,Auf dem Gelände einer Asylunterkunft brennen nachts Müllcontainer. Tatverdächtige können nicht festgestellt werden. Die Polizei vermutet eine nicht fachgerechte Entsorgung von Grillkohle als Brandursache. Die Staatsanwaltschaft will eine vorsätzliche Tat jedoch nicht ausschließen. Offenbar wurden weitere Müllcontainer in Brand gesteckt.,0,0,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,,  Duisburg,,nein,nein,03.00 Uhr,nein,51.418711,6.749643,1
1,10/3/2015,2015,10,Nordrhein-Westfalen,10,2,Altena,Brandanschlag,"Im Dachstuhl eines Wohnhauses, in das gerade sieben Flüchtlinge eingezogen waren, wird Feuer gelegt. Die Dachbalken sind mit Benzin getränkt. Ein 23-Jähriger legt wenige Tage später ein Geständnis ab. Daraufhin gesteht auch ein 25-jähriger Berufsfeuerwehrmann aus der Nachbarschaft. Er habe die Tat aus ""Angst"" vor den Fremden begangen, sagt er.",0,0,ja,ja,nein,ja,nein,ja,nein,ja,nein,,Hagen,nein,ja,nein,am späten Abend,ja,51.299026,7.673481,1
1,7/27/2015,2015,7,Nordrhein-Westfalen,10,2,Wuppertal,Brandanschlag,"In einem Hochhaus, in dem auch Flüchtlinge untergebracht sind, wird eine leer stehende Wohnung im vierten Stock gewaltsam geöffnet und Unrat entzündet. Es entsteht geringer Sachschaden.",0,0,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,,  Wuppertal,,nein,nein,12.00 Uhr,ja,51.264018,7.178037,1
1,8/7/2015,2015,8,Nordrhein-Westfalen,10,2,Wuppertal,Brandanschlag,"In einem Hochhaus, in dem auch Flüchtlinge untergebracht sind, wird in einer leer stehenden Wohnung Unrat entzündet. Bereits einige Tage zuvor ist in dem Haus Feuer gelegt worden.",0,0,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,,  Wuppertal,,nein,nein,23.00 Uhr,ja,51.264018,7.178037,1
