countof,Datum,years,Monat,Bundesland,Bundesland_count,Bundesland_count_scale,Stadt,Vorfallsart,Kurzbeschreibung,Verletzte,Tote,bewohnt,Politisch motivierte Tat nach Polizei- einschätzung?,Einzeltäter,Tätergruppe,Täter_organisiert,Ersttäter,Wiederholungstäter,Täter_ortsansässig,Täter_zugereist,ermittelnde_Polizei,ermittelnde_Staats_anwaltschaft,Verfahren_eingestellt,Anklage_erhoben,Urteil,Uhrzeit,Einbruch_Eingedrungen,lat,lng,cunti
1,3/4/2015,2015,3,Sachsen,13,1,Mügeln,Sachbeschädigung,"Unbekannte werfen einen Pflasterstein in ein Fenster eines Wohnbereichs von Syrern. Es entsteht 150 Euro Sachschaden. Auf dem Stein steht ""Raus"" mit schwarzer Farbe geschrieben. Die Polizei ermittelt gegen unbekannt. ",0,0,ja,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Operatives Abwehrzentrum (OAZ),  Leipzig,,nein,,nein,18.30 Uhr,51.235958,13.050419,1
1,10/8/2015,2015,10,Sachsen,13,1,Grimma,Brandanschlag,"Unbekannte setzen Räume in einem Bürogebäude in Brand, in das auch Flüchtlinge einziehen sollen. Die Polizei schließt weder einen politischen Hintergrund noch fahrlässige Brandstiftung aus. Einen Hinweis auf einen technischen Defekt gibt es bisher nicht. ",0,0,nein,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Operatives Abwehrzentrum (OAZ),  Leipzig,,nein,nein,nachts,ja,51.234873,12.710886,1
1,7/11/2015,2015,7,Sachsen,13,1,Böhlen,Sachbeschädigung,"Mit einer ""unbekannten Abschussvorrichtung"" schießen die Täter an zwei aufeinanderfolgenden Nächten Metallkugeln auf die Fassade des Apart-Hotels Leipzig, in dem auch Flüchtlinge wohnen. Eine Kugel zerstört die Außenscheibe eines doppelverglasten Fensters. Die Polizei ermittelt mit überdurchschnittlichem Aufwand, überwacht den Tatort, um Täter zu finden. ",0,0,ja,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Operatives Abwehrzentrum (OAZ),Leipzig,,nein,nein,nachts,nein,51.202491,12.38584,1
1,9/25/2015,2015,9,Sachsen,13,1,Niederau,Sachbeschädigung,"Gewalttäter versuchen, den Zaun um eine bezugsfertige Unterkunft niederzureißen. Sie beschimpfen und bewerfen Mitarbeiter des Technischen Hilfswerks, die dort arbeiten. Vor der Randale gab es eine Protestveranstaltung gegen die Unterkunft. ",0,nein,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Operatives Abwehrzentrum (OAZ),Dresden,,keine Auskunft,keine Auskunft,nachts,nein,51.176932,13.543883,1
1,3/28/2015,2015,3,Sachsen,13,1,Meißen,Sachbeschädigung,Unbekannte greifen eine unbewohnte Unterkunft an und verursachen Sachschaden. Die Staatsanwaltschaft will sich - offenbar aus ermittlungstaktischen Gründen – nichts zu dem Vorfall und zum Emittlungsstand äußern.,0,0,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Operatives Abwehrzentrum (OAZ),  Dresden,,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,51.163087,13.470494,1
1,6/28/2015,2015,6,Sachsen,13,1,Meißen,Brandanschlag,"Täter legen in der geplanten Unterkunft in der Rauhentalstraße mittels Brandbeschleuniger Feuer, ein Raum brennt aus. Die gleichen Täter verüben im August einen Wasseranschlag auf dasselbe Gebäude, um es endgültig unbewohnbar zu machen. Im Dezember werden Wohnungen von sieben Verdächtigen durchsucht, zwei Männer anschließend festgenommen. Sie gestehen die Tat und sitzen in Untersuchungshaft. Gegen die übrigen fünf wird weiter ermittelt.",0,0,nein,ja,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,ja,nein,Operatives Abwehrzentrum (OAZ),Dresden,nein,ja,nein,0 Uhr,ja,51.163087,13.470494,1
1,8/14/2015,2015,8,Sachsen,13,1,Meißen,Wasserschaden,"Täter brechen an der Unterkunft Rauhentalstraße Türen auf und öffnen die Wasserhähne. Doch es fließt kein Wasser, da die Leitung abgestellt ist. Daraufhin gehen sie in den Keller und öffnen den Hauptwasserhahn. Noch immer fließt kein Wasser, da Sperrhähne auf der Etage das verhindern. Die Täter fliehen, ohne Schaden anrichten zu können. Im Dezember werden sie festgenommen. Sie hatten im Juni bereits versucht, das Gebäude anzuzünden.",0,0,nein,ja,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,ja,nein,Operatives Abwehrzentrum (OAZ),Dresden,nein,ja,nein,nachts,ja,51.163087,13.470494,1
1,11/9/2015,2015,11,Sachsen,13,1,Neukieritsch,Brandanschlag,Unbekannte legen im Gebäude einer geplanten Wohneinrichtung an mehreren Stellen Feuer. ,0,0,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,OAZ,Leipzig,nein,keine Auskunft,keine Auskunft,nachts,ja,51.151385,12.408882,1
1,10/23/2015,2015,10,Sachsen,13,1,Reichenbach/Oberlausitz,Sachbeschädigung,Zwei unbekannte Personen werfen in Deutschland nicht zugelassene Böller über einen Zaun auf das Grundstück eines Asylbewerberheims in Reichenbach (Sachsen).,0,0,ja,ja,,,,,,,,,,,nein,nein,,nein,51.140952,14.800226,1
1,11/8/2015,2015,11,Sachsen,13,1,Lobstädt/Borna,Brandanschlag,"Unbekannte dringen in das Gebäude einer ehemaligen Berufsschule ein, die noch im November als Flüchtlingsunterkunft genutzt werden soll, und legen Feuer. Eine Glasscheibe soll durch eine Explosion zu Bruch gegangen sein. Das Gebäude verrußt. Der Brand bleibt zunächst unbemerkt. Als die Feuerwehr eintrifft, ist das Feuer schon erloschen.",0,0,nein,ja,,,,,,,,OAZ,Leipzig,,,,"Wochenende, entdeckt Montagmorgen",ja,51.121661,12.493710,1
